fasta_header,hit_num,sseq_length,sseq_accession,sseq_description,bitscore,evalue,matched_residues,alignment_length,percent_identity,qseq_length
1_T47_YPD_16S.1492R_51,26,1472,MK286960,"Bacillus haynesii strain BECMY5 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,27,1429,MN099361,"Bacillus licheniformis strain ALB18 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,28,4280457,CP041154,"Bacillus licheniformis strain CSL2 chromosome, complete genome",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,29,1471,MK970555,"Bacillus licheniformis strain K1 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,30,1188,MK970552,"Bacillus paralicheniformis strain J2 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,31,1293,MK970550,"Bacillus paralicheniformis strain F2 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,32,1315,LR215126,"Bacillus haynesii partial 16S rRNA gene, isolate MRB_C4_I",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,33,1285,LR215125,"Bacillus glycinifermentans partial 16S rRNA gene, isolate R10_C2_IIIB",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,34,1281,LR215076,"Bacillus paralicheniformis partial 16S rRNA gene, isolate R9_A2_IIIB",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,35,1116,MK942417,"Bacillus sp. (in: Bacteria) strain S4 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,36,1094,MK942416,"Bacillus glycinifermentans strain S3 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,37,1115,MK942415,"Bacillus paralicheniformis strain S2 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,38,1519,MK937815,"Bacillus licheniformis strain CIIRC/M1 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,39,1406,MK905721,"Bacillus licheniformis strain RIBB-SCM22 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,40,1397,MK905712,"Bacillus licheniformis strain RIBB-SCM13 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,41,1506,MK874939,"Bacillus haynesii strain 6BCA 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,42,1487,MK874933,"Bacillus haynesii strain 15BCA 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,43,1474,MK874930,"Bacillus haynesii strain 20BCA 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,44,1479,MK874912,"Bacillus licheniformis strain 40BCA 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,45,1060,MK873913,"Bacillus sp. (in: Bacteria) strain 10-16-19 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,46,1020,MK873905,"Bacillus licheniformis strain 10-16-116 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,47,1089,MK873902,"Bacillus sonorensis strain 10-16-111 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,48,1020,MK873901,"Bacillus sp. (in: Bacteria) strain 10-16-110 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,49,1100,MK873899,"Bacillaceae bacterium strain D5 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,50,950,MK873893,"Bacillus licheniformis strain C3 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
11_R-2_YPD_16S.1492R_55,1,1447,HQ452824,"Streptococcus sp. L8 16S ribosomal RNA gene, partial sequence",2037.29,0,1129,1129,100,1129
11_R-2_YPD_16S.1492R_55,2,1513,MN075474,"Streptococcus equinus strain CNU 77-49 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,3,1507,MN075472,"Streptococcus equinus strain CNU 77-45 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,4,1600,MN075471,"Streptococcus equinus strain CNU 77-44 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,5,1519,MN075469,"Streptococcus equinus strain CNU 77-41 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,6,1514,MN075466,"Streptococcus equinus strain CNU 77-36 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,7,1522,MN075464,"Streptococcus equinus strain CNU 77-32 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,8,1504,MN075463,"Streptococcus equinus strain CNU 77-30 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,9,1511,MN075458,"Streptococcus equinus strain CNU 77-10 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,10,1501,MN075456,"Streptococcus equinus strain CNU 77-8 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,11,1521,MN075452,"Streptococcus equinus strain CNU 77-21 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,12,1516,MN075449,"Streptococcus equinus strain CNU 77-5 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,13,1498,MN075448,"Streptococcus equinus strain CNU 77-3 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,14,1509,MN075447,"Streptococcus equinus strain CNU 77-2 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,15,1523,MN075430,"Streptococcus equinus strain CNU 24 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,16,1537,MN075429,"Streptococcus equinus strain CNU 23 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,17,1531,MN075426,"Streptococcus equinus strain CNU 19 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,18,1548,MN075422,"Streptococcus equinus strain CNU 8 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,19,1529,MN075421,"Streptococcus equinus strain CNU 13 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,20,1521,MN075420,"Streptococcus equinus strain CNU 12 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,21,1511,MN075419,"Streptococcus equinus strain CNU 11 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,22,1508,MN075418,"Streptococcus equinus strain CNU 10 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,23,1521,MN075417,"Streptococcus equinus strain CNU 6 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,24,1533,MN075415,"Streptococcus equinus strain CNU 2 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,25,1513,MN075414,"Streptococcus equinus strain CNU G6 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,26,1867673,LR594042,"Streptococcus gallolyticus subsp. gallolyticus strain NCTC8133 genome assembly, chromosome: 1",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,27,1873522,LR134282,"Streptococcus equinus strain NCTC8140 genome assembly, chromosome: 1",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,28,1498,MF380371,"Streptococcus equinus strain DMF7 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,29,1490,LC269355,"Streptococcus sp. JCM 7880 gene for 16S ribosomal RNA, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,30,1486,LC269354,"Streptococcus sp. JCM 7878 gene for 16S ribosomal RNA, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,31,1439,KX010106,"Streptococcus sp. N91 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,32,1501,LC145574,"Streptococcus equinus gene for 16S ribosomal RNA, partial sequence, strain: JCM 5802",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,33,1436,KP235227,"Streptococcus equinus strain BJ120316 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,34,1509,KT630832,"Streptococcus lutetiensis strain OZK22 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,35,1509,KT630830,"Streptococcus lutetiensis strain OZK20 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,36,1483,AB849353,"Streptococcus equinus gene for 16S ribosomal RNA, partial sequence, strain: CG50",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,37,1483,AB849352,"Streptococcus equinus gene for 16S ribosomal RNA, partial sequence, strain: CG14",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,38,1481,AB849351,"Streptococcus equinus gene for 16S ribosomal RNA, partial sequence, strain: CG68",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,39,1487,KF156794,"Streptococcus equinus strain 2B 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,40,1510,JX218605,"Uncultured rumen bacterium clone MXML-E3 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,41,1512,AB730684,"Streptococcus sp. RM25 gene for 16S rRNA, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,42,1492,AB730663,"Streptococcus sp. R69 gene for 16S rRNA, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,43,1472,AB680225,"Streptococcus equinus gene for 16S rRNA, partial sequence, strain: NBRC 12058",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,44,1468,AB680224,"Streptococcus equinus gene for 16S rRNA, partial sequence, strain: NBRC 12057",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,45,1456,HQ452825,"Streptococcus sp. L10 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,46,1540,AB563263,"Streptococcus equinus gene for 16S rRNA, partial sequence, strain: BP1-4",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,47,1540,AB563232,"Streptococcus equinus gene for 16S rRNA, partial sequence, strain: W8",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,48,1540,AB563225,"Streptococcus equinus gene for 16S rRNA, partial sequence, strain: W1",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,49,1540,AB563227,"Streptococcus equinus gene for 16S rRNA, partial sequence, strain: W3",2030.98,0,1129,1130,99.91150442,1129
11_R-2_YPD_16S.1492R_55,50,1544,EU842622,"Uncultured bacterium clone 1103200826814 16S ribosomal RNA gene, partial sequence",2030.98,0,1129,1130,99.91150442,1129
14_E-1_MM.ITS1_47,1,1024,KY694999,"Debaryomyces nepalensis strain YINS4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",706.404,0,399,402,99.25373134,401
14_E-1_MM.ITS1_47,2,1024,KY694998,"Debaryomyces nepalensis strain YINS3 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",706.404,0,399,402,99.25373134,401
14_E-1_MM.ITS1_47,3,1024,KY694997,"Debaryomyces hansenii strain INM36B small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",706.404,0,399,402,99.25373134,401
14_E-1_MM.ITS1_47,4,774,KY103283,"Debaryomyces nepalensis culture CBS:7761 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",706.404,0,399,402,99.25373134,401
14_E-1_MM.ITS1_47,5,922,EF060674,"Saccharomycetales sp. LM357 18S ribosomal RNA gene, partial sequence",706.404,0,399,402,99.25373134,401
14_E-1_MM.ITS1_47,6,945,EF060648,"Saccharomycetales sp. LM327 18S ribosomal RNA gene, partial sequence",706.404,0,399,402,99.25373134,401
14_E-1_MM.ITS1_47,7,905,EF060623,"Saccharomycetales sp. LM300 18S ribosomal RNA gene, partial sequence",706.404,0,399,402,99.25373134,401
14_E-1_MM.ITS1_47,8,870,EF060622,"Saccharomycetales sp. LM298 18S ribosomal RNA gene, partial sequence",706.404,0,399,402,99.25373134,401
14_E-1_MM.ITS1_47,9,2774,MK394105,"Debaryomyces coudertii small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",701.895,0,398,402,99.00497512,401
14_E-1_MM.ITS1_47,10,2774,MK394104,"Debaryomyces hansenii small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",689.272,0,396,402,98.50746269,401
14_E-1_MM.ITS1_47,11,2773,MK394103,"Debaryomyces fabryi small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",689.272,0,396,402,98.50746269,401
14_E-1_MM.ITS1_47,12,1006,KP132014,"Debaryomyces subglobosus strain PMM08-1733L isolate ISHAM-ITS_ID MITS606 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",689.272,0,396,402,98.50746269,401
14_E-1_MM.ITS1_47,13,850,KF800492,"Uncultured fungus clone CMH401 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",689.272,0,396,402,98.50746269,401
14_E-1_MM.ITS1_47,14,1119,JQ912667,"Debaryomyces hansenii 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",689.272,0,396,402,98.50746269,401
14_E-1_MM.ITS1_47,15,2961,GQ458041,"Debaryomyces hansenii strain ATCC 60978 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",689.272,0,396,402,98.50746269,401
14_E-1_MM.ITS1_47,16,2991,GQ458025,"Debaryomyces hansenii strain MA09-AK 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",689.272,0,396,402,98.50746269,401
14_E-1_MM.ITS1_47,17,2969,GQ458019,"Debaryomyces hansenii strain MA09-J 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",689.272,0,396,402,98.50746269,401
14_E-1_MM.ITS1_47,18,782,KY103285,"Debaryomyces psychrosporus culture CBS:11845 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",688.37,0,395,402,98.25870647,401
14_E-1_MM.ITS1_47,19,400,MH625217,"Fungal sp. isolate OTU_1551_4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence",681.156,0,385,389,98.97172237,401
14_E-1_MM.ITS1_47,20,811,AM901769,"Uncultured ascomycete ITS region including 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone BF-OTU262",681.156,0,395,402,98.25870647,401
14_E-1_MM.ITS1_47,21,1030,KP132015,"Debaryomyces subglobosus strain PMM10-1028284L isolate ISHAM-ITS_ID MITS607 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",680.255,0,394,402,98.00995025,401
14_E-1_MM.ITS1_47,22,1043,KY103286,"Debaryomyces renaii culture CBS:10891 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",679.353,0,393,402,97.76119403,401
14_E-1_MM.ITS1_47,23,2015,JF292450,"Debaryomyces sp. enrichment culture clone MPSR02 18S ribosomal RNA gene, partial sequence",669.434,0,393,402,97.76119403,401
14_E-1_MM.ITS1_47,24,661,JQ665429,"Debaryomyces sp. R100 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",661.319,0,384,391,98.20971867,401
14_E-1_MM.ITS1_47,25,722,KY105392,"Schwanniomyces occidentalis var. persoonii culture CBS:4869 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",618.94,7.63E-173,385,404,95.2970297,401
14_E-1_MM.ITS1_47,26,886,EF060800,"Saccharomycetales sp. LM501 18S ribosomal RNA gene, partial sequence",618.038,7.63E-173,384,404,95.04950495,401
14_E-1_MM.ITS1_47,27,709,KY105388,"Schwanniomyces occidentalis var. occidentalis culture CBS:8022 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",609.022,3.95E-170,383,403,95.03722084,401
14_E-1_MM.ITS1_47,28,1733,MF975536,"Debaryomyces sp. UFMG-CM-Y343 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcriped spacer 2 intergenic spacer, complete sequence; and large subunit ribosomal RNA gene, partial sequence",603.611,1.68E-168,380,404,94.05940594,401
14_E-1_MM.ITS1_47,29,963,EF060634,"Saccharomycetales sp. LM310 18S ribosomal RNA gene, partial sequence",603.611,1.68E-168,380,404,94.05940594,401
14_E-1_MM.ITS1_47,30,707,NR_152495,Debaryomyces psychrosporus CBS 11845 ITS region; from TYPE material,601.808,5.87E-168,347,354,98.02259887,401
14_E-1_MM.ITS1_47,31,742,KY105353,"Scheffersomyces shehatae culture CBS:4704 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",598.201,7.15E-167,378,403,93.79652605,401
14_E-1_MM.ITS1_47,32,2940,LC120362,"Scheffersomyces insectosa genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 26S rRNA, partial and complete sequence, strain: JCM 9842",598.201,7.15E-167,378,403,93.79652605,401
14_E-1_MM.ITS1_47,33,2939,LC120360,"Scheffersomyces lignosus genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 26S rRNA, partial and complete sequence, strain: JCM 9837",598.201,7.15E-167,378,403,93.79652605,401
14_E-1_MM.ITS1_47,34,2939,LC119086,"Scheffersomyces sp. Y1052_SICYLG3 gene for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 26S rRNA, partial and complete sequence, strain: Y1052-SICYLG3",598.201,7.15E-167,378,403,93.79652605,401
14_E-1_MM.ITS1_47,35,737,KY105420,"Schwanniomyces yamadae culture CBS:5009 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",591.89,1.06E-164,379,404,93.81188119,401
14_E-1_MM.ITS1_47,36,781,KY105351,"Scheffersomyces shehatae culture CBS:7263 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",590.086,3.70E-164,376,403,93.30024814,401
14_E-1_MM.ITS1_47,37,777,KY105350,"Scheffersomyces shehatae culture CBS:7261 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",590.086,3.70E-164,376,403,93.30024814,401
14_E-1_MM.ITS1_47,38,720,KY105343,"Scheffersomyces insectosa culture CBS:10110 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",590.086,3.70E-164,377,403,93.5483871,401
14_E-1_MM.ITS1_47,39,2938,LC120361,"Scheffersomyces shehatae genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 26S rRNA, partial and complete sequence, strain: JCM 9840",590.086,3.70E-164,376,403,93.30024814,401
