,header,sseq_length,sseq_accession,sseq_description,bitscore,evalue,matched_residues,alignment_length,percent_identity,qseq_length,hit_num
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1452.0,MN170899,"Uncultured Bacillus sp. clone jyw18 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,18
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1446.0,MN165657,"Bacillus licheniformis strain JYW6 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,19
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1438.0,MN160227,"Bacillus sonorensis strain RCPS1 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,20
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1376.0,MN133912,"Bacillus licheniformis strain BY65 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,21
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1199.0,MN133907,"Bacillus haynesii strain BY60 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,22
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1246.0,MN128071,"Bacillus licheniformis strain TS3 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,23
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1341.0,MN122274,"Bacillus swezeyi strain AQ54 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,24
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1472.0,MK286961,"Bacillus haynesii strain BECMY6 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,25
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1472.0,MK286960,"Bacillus haynesii strain BECMY5 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,26
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1429.0,MN099361,"Bacillus licheniformis strain ALB18 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,27
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,4280457.0,CP041154,"Bacillus licheniformis strain CSL2 chromosome, complete genome",889.445,0.0,508.0,517.0,98.25918762088975,517.0,28
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1471.0,MK970555,"Bacillus licheniformis strain K1 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,29
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1188.0,MK970552,"Bacillus paralicheniformis strain J2 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,30
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1293.0,MK970550,"Bacillus paralicheniformis strain F2 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,31
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1315.0,LR215126,"Bacillus haynesii partial 16S rRNA gene, isolate MRB_C4_I",889.445,0.0,508.0,517.0,98.25918762088975,517.0,32
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1285.0,LR215125,"Bacillus glycinifermentans partial 16S rRNA gene, isolate R10_C2_IIIB",889.445,0.0,508.0,517.0,98.25918762088975,517.0,33
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1281.0,LR215076,"Bacillus paralicheniformis partial 16S rRNA gene, isolate R9_A2_IIIB",889.445,0.0,508.0,517.0,98.25918762088975,517.0,34
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1116.0,MK942417,"Bacillus sp. (in: Bacteria) strain S4 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,35
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1094.0,MK942416,"Bacillus glycinifermentans strain S3 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,36
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1115.0,MK942415,"Bacillus paralicheniformis strain S2 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,37
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1519.0,MK937815,"Bacillus licheniformis strain CIIRC/M1 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,38
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1406.0,MK905721,"Bacillus licheniformis strain RIBB-SCM22 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,39
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1397.0,MK905712,"Bacillus licheniformis strain RIBB-SCM13 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,40
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1506.0,MK874939,"Bacillus haynesii strain 6BCA 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,41
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1487.0,MK874933,"Bacillus haynesii strain 15BCA 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,42
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1474.0,MK874930,"Bacillus haynesii strain 20BCA 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,43
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1479.0,MK874912,"Bacillus licheniformis strain 40BCA 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,44
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1060.0,MK873913,"Bacillus sp. (in: Bacteria) strain 10-16-19 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,45
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1020.0,MK873905,"Bacillus licheniformis strain 10-16-116 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,46
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1089.0,MK873902,"Bacillus sonorensis strain 10-16-111 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,47
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1020.0,MK873901,"Bacillus sp. (in: Bacteria) strain 10-16-110 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,48
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1100.0,MK873899,"Bacillaceae bacterium strain D5 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,49
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,950.0,MK873893,"Bacillus licheniformis strain C3 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,50
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1428.0,MN099365,"Bacillus pumilus strain QAZ8 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,1
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1427.0,MF177872,"Bacillus pumilus strain CK136 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,2
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1433.0,MK764972,"Bacillus pumilus strain DGE1 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,3
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1426.0,MK571157,"Bacillus pumilus strain 35W6 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,4
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1432.0,MK224502,"Bacillus pumilus strain TV-49A 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,5
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1458.0,MK213183,"Bacillus sp. (in: Bacteria) strain T15 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,6
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1434.0,MK184561,"Bacillus pumilus strain Xpq3 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,7
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1424.0,MK156420,"Bacillus pumilus strain 35W4 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,8
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1482.0,MK131335,"Bacillus zhangzhouensis strain KUDC6615 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,9
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1451.0,MK070088,"Bacillus zhangzhouensis strain D10302 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,10
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1430.0,MG553999,"Bacillus sp. (in: Bacteria) strain Y15-8 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,11
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1458.0,MG470754,"Bacillus sp. (in: Bacteria) strain Z103 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,12
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1450.0,MG470734,"Bacillus sp. (in: Bacteria) strain Z83 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,13
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1457.0,MG470705,"Bacillus sp. (in: Bacteria) strain Z54 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,14
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1450.0,MG470698,"Bacillus sp. (in: Bacteria) strain Z46 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,15
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1476.0,MH908782,"Bacillus pumilus strain SSI-06 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,16
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1499.0,MG595384,"Bacillus zhangzhouensis strain APBSIITMB23 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,17
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1485.0,MG256021,"Bacillus pumilus strain AH-19 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,18
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1380.0,MG836182,"Bacillus pumilus strain HRI602-2 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,19
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1431.0,MK474954,"Bacillus pumilus strain E97CS5 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,20
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1471.0,MG694527,"Bacillus zhangzhouensis strain TTS-AB-A41 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,21
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1509.0,MK371092,"Bacillus pumilus strain EvS-14 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,22
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1509.0,MK371091,"Bacillus pumilus strain EvS-13 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,23
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1509.0,MK371080,"Bacillus pumilus strain EvN-11 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,24
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,3640542.0,CP029464,"Bacillus pumilus strain ZB201701 chromosome, complete genome",2039.09,0.0,1130.0,1130.0,100.0,1130.0,25
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1494.0,MG524957,"Bacillus sp. (in: Bacteria) strain CO12 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,26
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1434.0,MF777032,"Bacillus pumilus strain PB14 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,27
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,3937399.0,CP027116,"Bacillus pumilus strain 145 chromosome, complete genome",2039.09,0.0,1130.0,1130.0,100.0,1130.0,28
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1499.0,MG547767,"Bacillus zhangzhouensis strain Tv91C 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,29
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1510.0,MG547766,"Bacillus zhangzhouensis strain KBA10 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,30
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1516.0,MG461673,"Bacillus sp. strain C8 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,31
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1438.0,MF062612,"Bacillus pumilus strain 10A-B92 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,32
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1431.0,MF062609,"Bacillus pumilus strain 10A-B5 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,33
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,3855667.0,LT906438,"Bacillus pumilus strain NCTC10337 genome assembly, chromosome: 1",2039.09,0.0,1130.0,1130.0,100.0,1130.0,34
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1511.0,MF540569,"Bacillus pumilus strain BK111 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,35
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1480.0,MF521894,"Bacillus pumilus strain SS006 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,36
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1456.0,MF289188,"Bacillus sp. strain pumilus 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,37
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1344.0,KX369313,"Bacillus sp. M9-44 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,38
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1484.0,KY316438,"Bacillus pumilus strain ZLynn800-22 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,39
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1442.0,KY316434,"Bacillus pumilus strain ZLynn800-17 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,40
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1438.0,KY316433,"Bacillus pumilus strain ZLynn800-16 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,41
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1412.0,KX363806,"Bacillus pumilus strain BP-hd-3 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,42
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,4070488.0,CP015607,"Bacillus safensis strain U14-5, complete genome",2039.09,0.0,1130.0,1130.0,100.0,1130.0,43
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,3935874.0,CP018197,"Bacillus safensis strain KCTC 12796BP, complete genome",2039.09,0.0,1130.0,1130.0,100.0,1130.0,44
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1433.0,KX023238,"Bacillus safensis strain ARD26 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,45
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1427.0,KX767142,"Bacillus pumilus strain FJAT-45161 16S ribosomal RNA, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,46
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1496.0,KU921527,"Bacillus pumilus strain IHBB 11003 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,47
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1475.0,KX453989,"Bacillus pumilus strain 216.1.1 16S ribosomal RNA gene, partial sequence",2039.09,0.0,1130.0,1130.0,100.0,1130.0,48
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,3698973.0,CP016784,"Bacillus pumilus strain PDSLzg-1, complete genome",2039.09,0.0,1130.0,1130.0,100.0,1130.0,49
21_E-2_YPD_16S.1492R_60,>21_E-2_YPD_16S.1492R_60,1552.0,LT220204,"Bacillus sp. SA_01 partial 16S rRNA gene, isolate SA_01",2034.58,0.0,1128.0,1129.0,99.91142604074402,1130.0,50
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1452.0,MF369894,"Streptococcus gallolyticus strain CAU:252 16S ribosomal RNA gene, partial sequence",1963.35,0.0,1091.0,1093.0,99.81701738334858,1093.0,1
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1434.0,MK391157,"Streptococcus macedonicus strain ICMP 22235 16S ribosomal RNA gene, partial sequence",1962.45,0.0,1089.0,1090.0,99.90825688073394,1093.0,2
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1423.0,KY952169,"Streptococcus gallolyticus subsp. gallolyticus strain ERUGALL17 16S ribosomal RNA gene, partial sequence",1962.45,0.0,1089.0,1090.0,99.90825688073394,1093.0,3
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1539.0,AF459431,"Streptococcus macedonicus 16S ribosomal RNA gene, partial sequence",1962.45,0.0,1089.0,1090.0,99.90825688073394,1093.0,4
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1447.0,AF298198,"Streptococcus sp. LRC 0255 16S ribosomal RNA gene, partial sequence",1962.45,0.0,1089.0,1090.0,99.90825688073394,1093.0,5
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1437.0,KP009836,"Streptococcus gallolyticus strain VTM3R15 16S ribosomal RNA gene, partial sequence",1960.65,0.0,1088.0,1089.0,99.90817263544535,1093.0,6
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1417.0,KP009834,"Streptococcus gallolyticus strain VTM4R18 16S ribosomal RNA gene, partial sequence",1960.65,0.0,1088.0,1089.0,99.90817263544535,1093.0,7
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1415.0,KP009830,"Streptococcus gallolyticus strain VTM1R33 16S ribosomal RNA gene, partial sequence",1960.65,0.0,1088.0,1089.0,99.90817263544535,1093.0,8
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1413.0,KP009828,"Streptococcus gallolyticus strain VTM4R20 16S ribosomal RNA gene, partial sequence",1960.65,0.0,1088.0,1089.0,99.90817263544535,1093.0,9
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1421.0,KP009827,"Streptococcus gallolyticus strain VTM4R13 16S ribosomal RNA gene, partial sequence",1960.65,0.0,1088.0,1089.0,99.90817263544535,1093.0,10
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1407.0,KP009825,"Streptococcus gallolyticus strain VTM3R32 16S ribosomal RNA gene, partial sequence",1960.65,0.0,1088.0,1089.0,99.90817263544535,1093.0,11
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1437.0,KP009808,"Streptococcus gallolyticus strain VTM1R27 16S ribosomal RNA gene, partial sequence",1960.65,0.0,1088.0,1089.0,99.90817263544535,1093.0,12
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1417.0,MF424809,"Streptococcus gallolyticus strain CAU1155 16S ribosomal RNA gene, partial sequence",1958.84,0.0,1090.0,1093.0,99.72552607502287,1093.0,13
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1389.0,MF354612,"Streptococcus sp. strain CAU:2360 16S ribosomal RNA gene, partial sequence",1958.84,0.0,1087.0,1088.0,99.90808823529412,1093.0,14
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1488.0,KU315094,"Streptococcus gallolyticus strain R1 16S ribosomal RNA gene, partial sequence",1958.84,0.0,1090.0,1093.0,99.72552607502287,1093.0,15
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1482.0,KF147886,"Streptococcus macedonicus strain PON207 16S ribosomal RNA gene, partial sequence",1958.84,0.0,1090.0,1093.0,99.72552607502287,1093.0,16
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1480.0,KC545893,"Streptococcus macedonicus strain PON58 16S ribosomal RNA gene, partial sequence",1958.84,0.0,1090.0,1093.0,99.72552607502287,1093.0,17
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1484.0,HQ721250,"Streptococcus macedonicus strain FMA830 16S ribosomal RNA gene, partial sequence",1958.84,0.0,1090.0,1093.0,99.72552607502287,1093.0,18
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1396.0,MF582800,"Streptococcus gallolyticus strain CAU3063 16S ribosomal RNA gene, partial sequence",1957.04,0.0,1089.0,1092.0,99.72527472527473,1093.0,19
Viki_Iso_3.616F_10,>Viki_Iso_3.616F_10,1392.0,MF424848,"Streptococcus gallolyticus strain CAU6173 16S ribosomal RNA gene, partial sequence",1957.04,0.0,1089.0,1092.0,99.72527472527473,1093.0,20
