"","qseqid","type","region","sseqid","mean_pi","annotations"
"73","n_noahi_1_1470","conserved",2,"gracillis_1_960",76.552,"""50S ribosomal protein L11 "", ""LSU ribosomal protein L11P """
"74","n_noahi_1_1470","conserved",2,"stinkeri_1_435",71.127,"""50S ribosomal protein L11 "", ""LSU ribosomal protein L11P """
"75","n_noahi_1_1471","conserved",2,"gracillis_1_961",74.449,"50S ribosomal protein L1 "
"76","n_noahi_1_1471","conserved",2,"stinkeri_1_434",69.565,"50S ribosomal protein L1 "
"77","n_noahi_1_1472","conserved",2,"gracillis_1_962",63.372,"50S ribosomal protein L10 "
"78","n_noahi_1_1472","conserved",2,"stinkeri_1_433",60.345,"50S ribosomal protein L10 "
"79","n_noahi_1_1473","conserved",2,"gracillis_1_963",80.0785,"50S ribosomal protein L7/L12 "
"80","n_noahi_1_1473","conserved",2,"stinkeri_1_432",78.3465,"50S ribosomal protein L7/L12 "
"81","n_noahi_1_1474","conserved",2,"gracillis_1_964",79.056,"""DNA-directed RNA polymerase subunit beta "", ""DNA-directed RNA polymerase subunit beta, partial """
"82","n_noahi_1_1474","conserved",2,"stinkeri_1_431",75.641,"""DNA-directed RNA polymerase subunit beta "", ""DNA-directed RNA polymerase subunit beta, partial """
"83","n_noahi_1_1475","conserved",2,"gracillis_1_965",87.118,"""DNA-directed RNA polymerase, beta' subunit "", ""DNA-directed RNA polymerase subunit beta' "", ""DNA-directed RNA polymerase subunit beta', partial """
"84","n_noahi_1_1475","conserved",2,"stinkeri_1_430",82.893,"""DNA-directed RNA polymerase, beta' subunit "", ""DNA-directed RNA polymerase subunit beta' "", ""DNA-directed RNA polymerase subunit beta', partial """
"85","n_noahi_1_1476","conserved",2,"gracillis_1_966",90.244,"30S ribosomal protein S12 "
"86","n_noahi_1_1476","conserved",2,"stinkeri_1_429",88.618,"30S ribosomal protein S12 "
"87","n_noahi_1_1477","conserved",2,"gracillis_1_967",77.215,"30S ribosomal protein S7 "
"88","n_noahi_1_1477","conserved",2,"stinkeri_1_428",79.747,"30S ribosomal protein S7 "
"89","n_noahi_1_1478","conserved",2,"gracillis_1_968",76.967,"""elongation factor G "", ""translation elongation factor G """
"90","n_noahi_1_1478","conserved",2,"stinkeri_1_427",73.932,"""elongation factor G "", ""translation elongation factor G """
"91","n_noahi_1_1479","conserved",2,"gracillis_1_969",90.176,"""elongation factor Tu "", ""translation elongation factor Tu """
"92","n_noahi_1_1479","conserved",2,"stinkeri_1_426",86.398,"""elongation factor Tu "", ""translation elongation factor Tu """
"93","n_noahi_1_1480","conserved",2,"gracillis_1_970",96.078,"30S ribosomal protein S10 "
"94","n_noahi_1_1480","conserved",2,"stinkeri_1_425",96.078,"30S ribosomal protein S10 "
"95","n_noahi_1_1481","conserved",2,"gracillis_1_971",61.307,"50S ribosomal protein L3 "
"96","n_noahi_1_1481","conserved",2,"stinkeri_1_424",62.5,"50S ribosomal protein L3 "
"97","n_noahi_1_1482","conserved",2,"gracillis_1_972",65.55,"50S ribosomal protein L4 "
"98","n_noahi_1_1482","conserved",2,"stinkeri_1_423",55.981,"50S ribosomal protein L4 "
"99","n_noahi_1_1483","conserved",2,"gracillis_1_973",69.474,"50S ribosomal protein L23 "
"100","n_noahi_1_1483","conserved",2,"stinkeri_1_422",52.688,"50S ribosomal protein L23 "
"101","n_noahi_1_1484","conserved",2,"gracillis_1_974",82.182,"50S ribosomal protein L2 "
"102","n_noahi_1_1484","conserved",2,"stinkeri_1_421",73.455,"50S ribosomal protein L2 "
"103","n_noahi_1_1485","conserved",2,"gracillis_1_975",86.316,"30S ribosomal protein S19 "
"104","n_noahi_1_1485","conserved",2,"stinkeri_1_420",80,"30S ribosomal protein S19 "
"105","n_noahi_1_1486","conserved",2,"gracillis_1_976",65.766,"50S ribosomal protein L22 "
"106","n_noahi_1_1486","conserved",2,"stinkeri_1_419",64.865,"50S ribosomal protein L22 "
"107","n_noahi_1_1487","conserved",2,"gracillis_1_977",86.667,"30S ribosomal protein S3 "
"108","n_noahi_1_1487","conserved",2,"stinkeri_1_418",78.378,"30S ribosomal protein S3 "
"109","n_noahi_1_1488","conserved",2,"gracillis_1_978",86.029,"50S ribosomal protein L16 "
"110","n_noahi_1_1488","conserved",2,"stinkeri_1_417",80.741,"50S ribosomal protein L16 "
"111","n_noahi_1_1489","conserved",2,"gracillis_1_979",66.176,"50S ribosomal protein L29 "
"112","n_noahi_1_1489","conserved",2,"stinkeri_1_416",66.102,"50S ribosomal protein L29 "
"113","n_noahi_1_1490","conserved",2,"gracillis_1_980",59.259,"30S ribosomal protein S17 "
"114","n_noahi_1_1490","conserved",2,"stinkeri_1_415",62.963,"30S ribosomal protein S17 "
"115","n_noahi_1_1491","conserved",2,"gracillis_1_981",89.431,"50S ribosomal protein L14 "
"116","n_noahi_1_1491","conserved",2,"stinkeri_1_414",82.114,"50S ribosomal protein L14 "
"117","n_noahi_1_1492","conserved",2,"gracillis_1_982",62.745,"""50S ribosomal protein L24 "", ""MULTISPECIES: 50S ribosomal protein L24 """
"118","n_noahi_1_1492","conserved",2,"stinkeri_1_413",59.259,"""50S ribosomal protein L24 "", ""MULTISPECIES: 50S ribosomal protein L24 """
"119","n_noahi_1_1493","conserved",2,"gracillis_1_983",84.181,"50S ribosomal protein L5 "
"120","n_noahi_1_1493","conserved",2,"stinkeri_1_412",79.444,"50S ribosomal protein L5 "
"121","n_noahi_1_1494","conserved",2,"no_rbh",0,"""hypothetical protein Athens101428_17 "", ""hypothetical protein A3F68_05835 "", ""hypothetical protein A2X81_18095 "", ""hypothetical protein A3C81_02630 "", ""hypothetical protein A2750_00855 "", ""hypothetical protein RMSM_05560 "", ""hypothetical protein A2822_04250 "", ""hypothetical protein CP01DC11_1126, partial "", ""hypothetical protein A2727_00895 "", ""hypothetical protein A2714_00820 """
"122","n_noahi_1_1495","conserved",2,"gracillis_1_985",64.885,"30S ribosomal protein S8 "
"123","n_noahi_1_1495","conserved",2,"stinkeri_1_411",67.692,"30S ribosomal protein S8 "
"124","n_noahi_1_1496","conserved",2,"gracillis_1_986",74.7095,"50S ribosomal protein L6 "
"125","n_noahi_1_1496","conserved",2,"stinkeri_1_410",62.921,"50S ribosomal protein L6 "
"126","n_noahi_1_1497","conserved",2,"gracillis_1_987",59.167,"50S ribosomal protein L18 "
"127","n_noahi_1_1497","conserved",2,"stinkeri_1_409",60.656,"50S ribosomal protein L18 "
"128","n_noahi_1_1498","conserved",2,"gracillis_1_988",81.595,"30S ribosomal protein S5 "
"129","n_noahi_1_1498","conserved",2,"stinkeri_1_408",80.795,"30S ribosomal protein S5 "
"130","n_noahi_1_1499","conserved",2,"gracillis_1_989",70.068,"50S ribosomal protein L15 "
"131","n_noahi_1_1499","conserved",2,"stinkeri_1_407",70.423,"50S ribosomal protein L15 "
"132","n_noahi_1_1500","conserved",2,"gracillis_1_990",79.043,"preprotein translocase subunit SecY "
"133","n_noahi_1_1500","conserved",2,"stinkeri_1_406",77.677,"preprotein translocase subunit SecY "
"134","n_noahi_1_1501","conserved",2,"gracillis_1_991",60.28,"adenylate kinase "
"135","n_noahi_1_1501","conserved",2,"stinkeri_1_405",57.477,"adenylate kinase "
"136","n_noahi_1_1502","conserved",2,"gracillis_1_992",90.411,"translation initiation factor IF-1 "
"137","n_noahi_1_1502","conserved",2,"stinkeri_1_404",89.041,"translation initiation factor IF-1 "
"138","n_noahi_1_1503","conserved",2,"gracillis_1_994",76.786,"""30S ribosomal protein S13 "", ""MULTISPECIES: 30S ribosomal protein S13 """
"139","n_noahi_1_1503","conserved",2,"stinkeri_1_402",72.581,"""30S ribosomal protein S13 "", ""MULTISPECIES: 30S ribosomal protein S13 """
"140","n_noahi_1_1504","conserved",2,"gracillis_1_995",92.308,"30S ribosomal protein S11 "
"141","n_noahi_1_1504","conserved",2,"stinkeri_1_401",88.034,"30S ribosomal protein S11 "
"142","n_noahi_1_1505","conserved",2,"gracillis_1_996",75.355,"30S ribosomal protein S4 "
"143","n_noahi_1_1505","conserved",2,"stinkeri_1_400",72.986,"30S ribosomal protein S4 "
"144","n_noahi_1_1506","conserved",2,"gracillis_1_997",80.415,"DNA-directed RNA polymerase subunit alpha "
"145","n_noahi_1_1506","conserved",2,"stinkeri_1_399",73.134,"DNA-directed RNA polymerase subunit alpha "
"146","n_noahi_1_1507","conserved",2,"gracillis_1_998",84.874,"50S ribosomal protein L17 "
"147","n_noahi_1_1507","conserved",2,"stinkeri_1_398",74.38,"50S ribosomal protein L17 "
"148","n_noahi_1_1508","conserved",2,"gracillis_1_999",71.97,"""YkgJ family cysteine cluster protein "", ""zinc/iron-chelating domain-containing protein "", ""hypothetical protein UR09_06060 """
"149","n_noahi_1_1508","conserved",2,"stinkeri_1_397",61.94,"""YkgJ family cysteine cluster protein "", ""zinc/iron-chelating domain-containing protein "", ""hypothetical protein UR09_06060 """
"150","n_noahi_1_1509","conserved",2,"no_rbh",0,"""hypothetical protein AYK19_17790 "", ""tetratricopeptide repeat protein "", ""hypothetical protein T229_10280 "", ""tetratricopeptide repeat protein, partial """
"151","n_noahi_1_1510","conserved",2,"no_rbh",0,"""hypothetical protein EPO20_24000 "", ""hypothetical protein DMD55_19990 "", ""hypothetical protein DMD69_01120 "", ""hypothetical protein DMD52_02525 "", ""hypothetical protein AMJ64_00800 "", ""hypothetical protein AUH78_00215 "", ""hypothetical protein "", ""hypothetical protein EA385_11305 "", ""hypothetical protein DGWBC_1481 "", ""hypothetical protein C4542_03370 """
"152","n_noahi_1_1511","conserved",2,"no_rbh",0,"""hypothetical protein ALP8811_00489 "", ""hypothetical protein """
"153","n_noahi_1_1512","conserved",2,"no_rbh",0,"""hypothetical protein DMG32_05955 "", ""hypothetical protein A3G25_08045 "", ""hypothetical protein DMG10_02275 "", ""hypothetical protein DMG08_20865 "", ""hypothetical protein "", ""PKD domain containing protein "", ""hypothetical protein A3G20_02675 """
"154","n_noahi_1_1513","conserved",2,"gracillis_1_203",45.524,"""hypothetical protein "", ""hypothetical protein COV66_07220 "", ""hypothetical protein A3K09_03710 """
"155","n_noahi_1_1513","conserved",2,"stinkeri_1_1137",46.212,"""hypothetical protein "", ""hypothetical protein COV66_07220 "", ""hypothetical protein A3K09_03710 """
"156","n_noahi_1_1514","conserved",2,"gracillis_1_202",72.34,"ribonuclease HI "
"157","n_noahi_1_1514","conserved",2,"stinkeri_1_1138",71.223,"ribonuclease HI "
"158","n_noahi_1_1515","conserved",2,"gracillis_1_201",48.951,"""hypothetical protein COV67_10905 "", ""hypothetical protein COW89_04475 "", ""hypothetical protein "", ""putative Rubrerythrin-like protein "", ""ferritin family protein """
"159","n_noahi_1_1515","conserved",2,"stinkeri_1_1140",45.833,"""hypothetical protein COV67_10905 "", ""hypothetical protein COW89_04475 "", ""hypothetical protein "", ""putative Rubrerythrin-like protein "", ""ferritin family protein """
"160","n_noahi_1_1516","conserved",2,"gracillis_1_200",77.451,"""carbon monoxide dehydrogenase "", ""pyruvate:ferredoxin oxidoreductase delta subunit """
"161","n_noahi_1_1516","conserved",2,"stinkeri_1_1141",82.524,"""carbon monoxide dehydrogenase "", ""pyruvate:ferredoxin oxidoreductase delta subunit """
"162","n_noahi_1_1517","conserved",2,"gracillis_1_199",82.452,"""pyruvate:ferredoxin oxidoreductase subunit alpha "", ""ferredoxin oxidoreductase """
"163","n_noahi_1_1517","conserved",2,"stinkeri_1_1142",77.536,"""pyruvate:ferredoxin oxidoreductase subunit alpha "", ""ferredoxin oxidoreductase """
"164","n_noahi_1_1518","conserved",2,"gracillis_1_198",84.493,"""ferredoxin oxidoreductase "", ""Pyruvate:ferredoxin oxidoreductase subunit beta """
"165","n_noahi_1_1518","conserved",2,"stinkeri_1_1143",81.293,"""ferredoxin oxidoreductase "", ""Pyruvate:ferredoxin oxidoreductase subunit beta """
"166","n_noahi_1_1519","conserved",2,"gracillis_1_197",82.819,"""ferredoxin oxidoreductase "", ""Pyruvate:ferredoxin oxidoreductase, gamma subunit """
"167","n_noahi_1_1519","conserved",2,"stinkeri_1_1144",82.569,"""ferredoxin oxidoreductase "", ""Pyruvate:ferredoxin oxidoreductase, gamma subunit """
"168","n_noahi_1_1520","conserved",2,"gracillis_1_196",84.043,"""pyruvate:ferredoxin oxidoreductase epsilon subunit "", ""pyruvate ferredoxin oxidoreductase """
"169","n_noahi_1_1520","conserved",2,"stinkeri_1_1145",71.277,"""pyruvate:ferredoxin oxidoreductase epsilon subunit "", ""pyruvate ferredoxin oxidoreductase """
"170","n_noahi_1_2268","island",3,"gracillis_1_468",89.344,"""NADH-quinone oxidoreductase subunit M "", ""NADH:ubiquinone oxidoreductase subunit M """
"171","n_noahi_1_2269","island",3,"no_rbh",0,NA
"172","n_noahi_1_2270","island",3,"stinkeri_1_488",75.676,"""zinc-dependent peptidase "", ""hypothetical protein COV66_10205 "", ""hypothetical protein "", ""hypothetical protein COW89_11430 "", ""hypothetical protein CVU55_03840 "", ""hypothetical protein CVU52_03565 "", ""hypothetical protein CVU69_07735 "", ""hypothetical protein CVU51_00190 """
"173","n_noahi_1_2271","island",3,"no_rbh",0,"""hypothetical protein COV67_08160 "", ""hypothetical protein COW89_10515 "", ""hypothetical protein "", ""hypothetical protein BWK80_21140 "", ""hypothetical protein DENIS_0568 """
"174","n_noahi_1_2272","island",3,"no_rbh",0,"""amphi-Trp domain-containing protein "", ""hypothetical protein BWK80_21145 """
"175","n_noahi_1_2273","island",3,"no_rbh",0,"""phosphate uptake regulator PhoU "", ""phosphotransferase """
"176","n_noahi_1_2274","island",3,"no_rbh",0,"""ATP-grasp family protein "", ""GAK system ATP-grasp enzyme "", ""ATP-grasp family protein, partial """
"177","n_noahi_1_2275","island",3,"no_rbh",0,"""HprK-related kinase B "", ""serine kinase """
"178","n_noahi_1_2276","island",3,"no_rbh",0,"""hypothetical protein COW89_10490 "", ""hypothetical protein COV67_00980 "", ""amphi-Trp domain-containing protein """
"179","n_noahi_1_2277","island",3,"no_rbh",0,"""phosphomannomutase "", ""phosphomannomutase/phosphoglucomutase """
"180","n_noahi_1_2278","island",3,"no_rbh",0,NA
"181","n_noahi_1_2279","island",3,"no_rbh",0,"""hypothetical protein "", ""hypothetical protein EV684_109160 "", ""hypothetical protein COA36_09700 "", ""hypothetical protein CSA21_07005 "", ""hypothetical protein DRH17_02185 """
"182","n_noahi_1_2280","island",3,"no_rbh",0,"""type II secretion system protein "", ""hypothetical protein "", ""hypothetical protein COB45_10220 "", ""hypothetical protein COB45_12535 "", ""prepilin-type N-terminal cleavage/methylation domain-containing protein "", ""hypothetical protein COA36_09705 "", ""hypothetical protein A9Q99_05260 """
"183","n_noahi_1_2281","island",3,"no_rbh",0,NA
"184","n_noahi_1_2282","island",3,"no_rbh",0,"""prepilin-type N-terminal cleavage/methylation domain-containing protein "", ""hypothetical protein AW736_07145 "", ""hypothetical protein "", ""type II secretion system protein """
"185","n_noahi_1_2283","island",3,"no_rbh",0,"""hypothetical protein CSA21_07025 "", ""hypothetical protein "", ""hypothetical protein COA36_09720 "", ""hypothetical protein AW736_07150 "", ""hypothetical protein Thivi_0189 """
