"","qseqid","type","region","sseqid","mean_pi","annotations"
"40","n_noahi_1_1500","conserved",2,"stinkeri_1_406",77.677,"preprotein translocase subunit SecY "
"41","n_noahi_1_1502","conserved",2,"gracillis_1_992",90.411,"translation initiation factor IF-1 "
"42","n_noahi_1_1502","conserved",2,"stinkeri_1_404",89.041,"translation initiation factor IF-1 "
"43","n_noahi_1_1503","conserved",2,"gracillis_1_994",76.786,"""30S ribosomal protein S13 "", ""MULTISPECIES: 30S ribosomal protein S13 """
"44","n_noahi_1_1503","conserved",2,"stinkeri_1_402",72.581,"""30S ribosomal protein S13 "", ""MULTISPECIES: 30S ribosomal protein S13 """
"45","n_noahi_1_1504","conserved",2,"gracillis_1_995",92.308,"30S ribosomal protein S11 "
"46","n_noahi_1_1504","conserved",2,"stinkeri_1_401",88.034,"30S ribosomal protein S11 "
"47","n_noahi_1_1505","conserved",2,"gracillis_1_996",75.355,"30S ribosomal protein S4 "
"48","n_noahi_1_1505","conserved",2,"stinkeri_1_400",72.986,"30S ribosomal protein S4 "
"49","n_noahi_1_1506","conserved",2,"gracillis_1_997",80.415,"DNA-directed RNA polymerase subunit alpha "
"50","n_noahi_1_1506","conserved",2,"stinkeri_1_399",73.134,"DNA-directed RNA polymerase subunit alpha "
"51","n_noahi_1_1507","conserved",2,"gracillis_1_998",84.874,"50S ribosomal protein L17 "
"52","n_noahi_1_1507","conserved",2,"stinkeri_1_398",74.38,"50S ribosomal protein L17 "
"53","n_noahi_1_1508","conserved",2,"gracillis_1_999",71.97,"""YkgJ family cysteine cluster protein "", ""zinc/iron-chelating domain-containing protein "", ""hypothetical protein UR09_06060 """
"54","n_noahi_1_1514","conserved",2,"gracillis_1_202",72.34,"ribonuclease HI "
"55","n_noahi_1_1514","conserved",2,"stinkeri_1_1138",71.223,"ribonuclease HI "
"56","n_noahi_1_1516","conserved",2,"gracillis_1_200",77.451,"""carbon monoxide dehydrogenase "", ""pyruvate:ferredoxin oxidoreductase delta subunit """
"57","n_noahi_1_1516","conserved",2,"stinkeri_1_1141",82.524,"""carbon monoxide dehydrogenase "", ""pyruvate:ferredoxin oxidoreductase delta subunit """
"58","n_noahi_1_1517","conserved",2,"gracillis_1_199",82.452,"""pyruvate:ferredoxin oxidoreductase subunit alpha "", ""ferredoxin oxidoreductase """
"59","n_noahi_1_1517","conserved",2,"stinkeri_1_1142",77.536,"""pyruvate:ferredoxin oxidoreductase subunit alpha "", ""ferredoxin oxidoreductase """
"60","n_noahi_1_1518","conserved",2,"gracillis_1_198",84.493,"""ferredoxin oxidoreductase "", ""Pyruvate:ferredoxin oxidoreductase subunit beta """
"61","n_noahi_1_1518","conserved",2,"stinkeri_1_1143",81.293,"""ferredoxin oxidoreductase "", ""Pyruvate:ferredoxin oxidoreductase subunit beta """
"62","n_noahi_1_1519","conserved",2,"gracillis_1_197",82.819,"""ferredoxin oxidoreductase "", ""Pyruvate:ferredoxin oxidoreductase, gamma subunit """
"63","n_noahi_1_1519","conserved",2,"stinkeri_1_1144",82.569,"""ferredoxin oxidoreductase "", ""Pyruvate:ferredoxin oxidoreductase, gamma subunit """
"64","n_noahi_1_1520","conserved",2,"gracillis_1_196",84.043,"""pyruvate:ferredoxin oxidoreductase epsilon subunit "", ""pyruvate ferredoxin oxidoreductase """
"65","n_noahi_1_1520","conserved",2,"stinkeri_1_1145",71.277,"""pyruvate:ferredoxin oxidoreductase epsilon subunit "", ""pyruvate ferredoxin oxidoreductase """
"66","n_noahi_1_2268","island",3,"gracillis_1_468",89.344,"""NADH-quinone oxidoreductase subunit M "", ""NADH:ubiquinone oxidoreductase subunit M """
"67","n_noahi_1_2270","island",3,"stinkeri_1_488",75.676,"""zinc-dependent peptidase "", ""hypothetical protein COV66_10205 "", ""hypothetical protein "", ""hypothetical protein COW89_11430 "", ""hypothetical protein CVU55_03840 "", ""hypothetical protein CVU52_03565 "", ""hypothetical protein CVU69_07735 "", ""hypothetical protein CVU51_00190 """
"68","n_noahi_1_2309","island",3,"gracillis_1_2764",71.053,"SUF system NifU family Fe-S cluster assembly protein "
"69","n_stinkeri_1_400","conserved",4,"noahi_1_1505",72.986,"30S ribosomal protein S4 "
"70","n_stinkeri_1_401","conserved",4,"gracillis_1_995",90.076,"30S ribosomal protein S11 "
"71","n_stinkeri_1_401","conserved",4,"noahi_1_1504",88.034,"30S ribosomal protein S11 "
"72","n_stinkeri_1_402","conserved",4,"noahi_1_1503",72.581,"30S ribosomal protein S13 "
"73","n_stinkeri_1_403","conserved",4,"gracillis_1_993",81.579,"""50S ribosomal protein L36 "", ""ribosomal protein L36 "", ""MULTISPECIES: 50S ribosomal protein L36 """
"74","n_stinkeri_1_404","conserved",4,"gracillis_1_992",89.041,"""translation initiation factor IF-1 "", ""translation initiation factor IF-1, translation initiation factor IF-1 """
"75","n_stinkeri_1_404","conserved",4,"noahi_1_1502",89.041,"""translation initiation factor IF-1 "", ""translation initiation factor IF-1, translation initiation factor IF-1 """
"76","n_stinkeri_1_406","conserved",4,"gracillis_1_990",84.51,"preprotein translocase subunit SecY "
"77","n_stinkeri_1_406","conserved",4,"noahi_1_1500",77.677,"preprotein translocase subunit SecY "
"78","n_stinkeri_1_407","conserved",4,"gracillis_1_989",70.423,"50S ribosomal protein L15 "
"79","n_stinkeri_1_407","conserved",4,"noahi_1_1499",70.423,"50S ribosomal protein L15 "
"80","n_stinkeri_1_408","conserved",4,"gracillis_1_988",77.358,"30S ribosomal protein S5 "
"81","n_stinkeri_1_408","conserved",4,"noahi_1_1498",80.795,"30S ribosomal protein S5 "
"82","n_stinkeri_1_412","conserved",4,"gracillis_1_983",78.652,"50S ribosomal protein L5 "
"83","n_stinkeri_1_412","conserved",4,"noahi_1_1493",79.444,"50S ribosomal protein L5 "
"84","n_stinkeri_1_414","conserved",4,"gracillis_1_981",81.301,"50S ribosomal protein L14 "
"85","n_stinkeri_1_414","conserved",4,"noahi_1_1491",82.114,"50S ribosomal protein L14 "
"86","n_stinkeri_1_417","conserved",4,"gracillis_1_978",80.741,"50S ribosomal protein L16 "
"87","n_stinkeri_1_417","conserved",4,"noahi_1_1488",80.741,"50S ribosomal protein L16 "
"88","n_stinkeri_1_418","conserved",4,"gracillis_1_977",75.576,"30S ribosomal protein S3 "
"89","n_stinkeri_1_418","conserved",4,"noahi_1_1487",78.378,"30S ribosomal protein S3 "
"90","n_stinkeri_1_419","conserved",4,"gracillis_1_976",72.072,"50S ribosomal protein L22 "
"91","n_stinkeri_1_420","conserved",4,"gracillis_1_975",84.211,"30S ribosomal protein S19 "
"92","n_stinkeri_1_420","conserved",4,"noahi_1_1485",80,"30S ribosomal protein S19 "
"93","n_stinkeri_1_421","conserved",4,"gracillis_1_974",74.275,"50S ribosomal protein L2 "
"94","n_stinkeri_1_421","conserved",4,"noahi_1_1484",73.455,"50S ribosomal protein L2 "
"95","n_stinkeri_1_425","conserved",4,"gracillis_1_970",96.117,"30S ribosomal protein S10 "
"96","n_stinkeri_1_425","conserved",4,"noahi_1_1480",96.078,"30S ribosomal protein S10 "
"97","n_stinkeri_1_426","conserved",4,"gracillis_1_969",87.406,"""elongation factor Tu "", ""translation elongation factor Tu """
"98","n_stinkeri_1_426","conserved",4,"noahi_1_1479",86.398,"""elongation factor Tu "", ""translation elongation factor Tu """
"99","n_stinkeri_1_427","conserved",4,"gracillis_1_968",78.336,"elongation factor G "
"100","n_stinkeri_1_427","conserved",4,"noahi_1_1478",73.932,"elongation factor G "
"101","n_stinkeri_1_428","conserved",4,"gracillis_1_967",74.051,"30S ribosomal protein S7 "
"102","n_stinkeri_1_428","conserved",4,"noahi_1_1477",79.747,"30S ribosomal protein S7 "
"103","n_stinkeri_1_429","conserved",4,"gracillis_1_966",88.889,"30S ribosomal protein S12 "
"104","n_stinkeri_1_429","conserved",4,"noahi_1_1476",88.618,"30S ribosomal protein S12 "
"105","n_stinkeri_1_430","conserved",4,"gracillis_1_965",84.134,"""DNA-directed RNA polymerase subunit beta' "", ""DNA-directed RNA polymerase, beta' subunit "", ""DNA-directed RNA polymerase subunit beta', partial """
"106","n_stinkeri_1_430","conserved",4,"noahi_1_1475",82.893,"""DNA-directed RNA polymerase subunit beta' "", ""DNA-directed RNA polymerase, beta' subunit "", ""DNA-directed RNA polymerase subunit beta', partial """
"107","n_stinkeri_1_431","conserved",4,"gracillis_1_964",76.014,"""DNA-directed RNA polymerase subunit beta "", ""DNA-directed RNA polymerase subunit beta, partial """
"108","n_stinkeri_1_431","conserved",4,"noahi_1_1474",75.641,"""DNA-directed RNA polymerase subunit beta "", ""DNA-directed RNA polymerase subunit beta, partial """
"109","n_stinkeri_1_432","conserved",4,"gracillis_1_963",79.297,"50S ribosomal protein L7/L12 "
"110","n_stinkeri_1_432","conserved",4,"noahi_1_1473",78.3465,"50S ribosomal protein L7/L12 "
"111","n_stinkeri_1_434","conserved",4,"gracillis_1_961",73.128,"50S ribosomal protein L1 "
"112","n_stinkeri_1_435","conserved",4,"gracillis_1_960",78.873,"50S ribosomal protein L11 "
"113","n_stinkeri_1_435","conserved",4,"noahi_1_1470",71.127,"50S ribosomal protein L11 "
"114","n_stinkeri_1_436","conserved",4,"gracillis_1_959",78.286,"transcription termination/antitermination protein NusG "
"115","n_stinkeri_1_436","conserved",4,"noahi_1_1469",75.287,"transcription termination/antitermination protein NusG "
"116","n_stinkeri_1_444","conserved",4,"noahi_1_1820",71.512,"inorganic diphosphatase "
"117","n_stinkeri_1_448","conserved",4,"noahi_1_897",80.926,"""DUF4172 domain-containing protein "", ""hypothetical protein SCABRO_00363 "", ""Adenosine monophosphate-protein transferase SoFic "", ""Fic family protein """
"118","n_stinkeri_1_451","conserved",4,"gracillis_1_1468",90.449,"""NADH-quinone oxidoreductase "", ""NADH-quinone oxidoreductase subunit B """
"119","n_stinkeri_1_451","conserved",4,"noahi_1_1077",92.486,"""NADH-quinone oxidoreductase "", ""NADH-quinone oxidoreductase subunit B """
"120","n_stinkeri_1_1575","island",5,"gracillis_1_533",73.333,"""B12-binding domain-containing radical SAM protein "", ""radical SAM protein "", ""conserved hypothetical protein """
